,,Mar26 vs Dec25,Mar26 vs Dec25,Mar26 vs Mar25,Mar26 vs Mar25,FY25-26,FY25-26,,,,,,,,,,,,
Symbol,Total Debt to Equity,Sales Growth Quarterly QoQ,Net Profit Growth Quarterly QoQ,Sales Growth Quarterly YoY,Net Profit Growth Quarterly YoY,Sales Growth Yearly,Net Profit Growth,Mar26 Promoter Holding,Mar26 FII Holding,Mar26 DII Holding,Mar26 Retail holding,ROE FY25-26,ROE FY24-25,ROE FY23-24, PEG , FY25-26 Dividend/Share, FY24-25 Dividend/Share, FY23-24 Dividend/Share,  Book Value  
RELIANCE,0.41,10.81%,-7.00%,12.87%,-8.10%,7.06%,2.74%, 50.00 , 18.66 , 19.12 , 12.22 ,9.88,10.43,9.86,3.5,5.5,10,9, 668 
HDFCBANK,1.23,0.13%,1.85%,0.46%,9.28%,18.59%,12.21%, -   , 44.04 , 37.54 , 18.42 ,15.12,17.64,17.24,0.65,22,19.5,19, 378 
SBIN,1.33,0.38%,-7.84%,3.34%,1.10%,11.78%,15.97%, 55.52 , 11.41 , 24.24 , 8.83 ,18.66,18.97,18.44,0.38,15.9,13.7,11.3, 612 
ICICIBANK,0.71,2.54%,16.41%,2.49%,9.00%,16.81%,20.91%, -   , 34.48 , 36.79 , 28.73 ,19.45,19.47,17.71,0.59,11,10,8, 497 
TCS, -   ,5.38%,28.58%,9.65%,12.13%,4.58%,1.35%, 71.77 , 9.66 , 12.61 , 5.96 ,49.11,52.94,51.04,3.3,110,126,73, 297 
BAJFINANCE,3.77,1.85%,36.40%,18.10%,22.18%,26.76%,16.11%, 54.70 , 21.33 , 13.59 , 10.38 ,19.58,22.32,23.69,0.93,56,36,30, 183 
LT,1.33,15.83%,64.98%,11.25%,3.00%,15.66%,13.60%, -   , 18.75 , 40.03 , 41.22 ,19.33,17.83,14.77,1.72,34,34,24, 794 
HINDUNILVR, -   ,-0.55%,41.46%,7.64%,20.14%,1.98%,3.78%, 61.90 , 10.10 , 15.57 , 12.43 ,21.21,20.26,20.42,5.68,53,42,39, 207 
INFY, -   ,2.03%,27.65%,13.38%,20.90%,9.61%,10.18%, 14.38 , 28.45 , 40.38 , 16.79 ,31.68,29.4,32.46,2.34,48,43,46, 225 
ADANIPOWER,0.78,14.23%,71.67%,-0.10%,64.33%,11.62%,-38.79%, 74.96 , 11.73 , 3.69 , 9.62 ,28.61,79.36,96.86,0.9,0,0,0, 34 
MARUTI, -   ,5.13%,-6.12%,28.21%,-7.23%,7.79%,7.50%, 58.53 , 14.12 , 22.42 , 4.93 ,15.95,16.84,12.72,0.53,135,125,90," 3,408 "
M&M,1.63,5.53%,3.30%,29.07%,51.72%,14.80%,14.70%, 18.45 , 36.23 , 29.05 , 16.27 ,19.73,20.11,22.09,0.98,25.3,21.1,16.25, 749 
ADANIPORTS,0.73,10.64%,5.31%,26.50%,8.56%,14.09%,36.49%, 68.02 , 13.24 , 13.04 , 5.70 ,19.23,16.51,12.9,1.03,7,6,5, 417 
TITAN,1.57,5.92%,-29.99%,80.48%,35.36%,18.35%,-4.55%, 52.90 , 15.65 , 13.54 , 17.91 ,31.92,33,30.97,5.29,11,11,10, 163 
AXISBANK,1.19,1.37%,8.34%,5.30%,1.90%,12.96%,6.39%, 8.14 , 42.05 , 40.47 , 9.34 ,16.43,18.51,8.77,0.58,1,1,1, 687 
KOTAKBANK,0.62,1.83%,10.15%,6.29%,10.03%,16.77%,22.08%, 25.87 , 26.39 , 34.06 , 13.68 ,15.28,14.88,14.19,0.87,2.5,2,1.5, 182 
ULTRACEMCO,0.33,18.19%,73.10%,11.86%,20.75%,7.12%,-13.77%, 59.33 , 13.61 , 18.42 , 8.64 ,9.25,12.25,9.7, -   ,77.5,70,38," 2,600 "
ADANIENT,1.65,30.70%,-102.26%,20.30%,-103.14%,1.53%,128.04%, 74.67 , 10.80 , 6.70 , 7.83 ,17.85,9.48,8.05,0.23,1.3,1.3,1.2, 622 
HCLTECH,0.03,0.32%,10.00%,12.35%,4.20%,6.50%,10.75%, 60.86 , 15.50 , 17.79 , 5.85 ,25.4,23.69,23.41,2.23,60,52,48, 277 
BAJAJ-AUTO,0.27,10.05%,-16.47%,41.01%,7.49%,13.65%,-4.98%, 55.01 , 8.82 , 13.61 , 22.56 ,22.91,26.51,20.5,4.71,210,80,140," 1,389 "
BAJAJFINSV,4.95,-3.06%,19.46%,5.66%,9.86%,21.23%,12.58%, 58.71 , 7.23 , 11.38 , 22.68 ,26.75,29.52,28.46,1.05,1,1,0.8, 487 
DMART, -   ,-2.30%,-23.30%,18.91%,19.18%,16.87%,6.78%, 74.51 , 9.00 , 7.38 , 9.11 ,13.53,14.62,16.03,4.4,0,0,0, 375 
NESTLEIND,0.19,19.07%,9.43%,22.60%,25.76%,-17.19%,-18.44%, 62.76 , 9.74 , 11.68 , 15.82 ,87.27,117.72,108.52, -   ,27,32.2,220, 27 
COALINDIA,0.09,33.12%,56.92%,5.75%,12.75%,-0.73%,-5.53%, 63.13 , 8.38 , 21.97 , 6.52 ,38.83,52.06,61.01,0.34,26.5,25.5,24.25, 193 
HINDZINC,0.84,23.35%,28.52%,49.05%,67.60%,17.80%,33.43%, 60.71 , 2.38 , 4.77 , 32.14 ,72.6,55.17,44.53,7.92,29,13,75.5, 54 
ETERNAL, -   ,5.99%,70.59%,196.45%,346.15%,67.10%,50.14%, -   , 32.61 , 34.14 , 33.25 ,2.16,1.85,-5.79,3.85,0,0,0, 32 
SHRIRAMFIN,4.15,2.82%,19.46%,9.25%,40.93%,19.65%,31.05%, 25.38 , 45.13 , 21.00 , 8.49 ,17.9,15.6,17.32,0.46,9.9,45,35, 449 
ADANIGREEN,9.49,33.77%,540.82%,13.96%,47.95%,21.61%,58.81%, 62.43 , 11.10 , 4.56 , 21.91 ,26.23,19.75,27.52,2.25,0,0,0, 117 
WIPRO,0.19,2.89%,11.99%,7.70%,-1.13%,3.97%,0.36%, 72.62 , 8.32 , 7.44 , 11.62 ,15.66,16.99,14.72,2.98,11,6,1, 84 
SBILIFE, -   ,-8.47%,39.52%,16.02%,-1.09%,0.00%,27.43%, 55.33 , 21.51 , 17.25 , 5.91 ,15.38,13.77,14.14,4.47,2.7,2.7,2.5, 190 
VBL,0.1,55.06%,236.14%,18.34%,20.59%,8.39%,16.24%, 59.44 , 19.51 , 13.26 , 7.79 ,16.94,22.4,34.95,2.12,1.5,1,2.5, 60 
JIOFIN,0.03,13.05%,0.16%,106.49%,-13.56%,10.20%,0.50%, 47.12 , 12.31 , 13.69 , 26.88 ,1.23,1.3,0.06,0.2,0.5,0,4400, 215 
ADANIENSOL,1.82,10.60%,16.39%,16.76%,-2.54%,43.11%,-22.91%, 72.73 , 12.23 , 10.24 , 4.80 ,5.31,9.8,13.77, -   ,0,0,0, 212 
ICICIAMC, -   ,0.15%,-16.76%,0.00%,0.00%,32.44%,29.32%, 87.59 , 2.40 , 7.03 , 2.98 ,84.59,80.97,72.22,2.19,1140,837,691, 84 
BSE, -   ,25.67%,35.63%,84.67%,64.33%,104.83%,71.34%, -   , 19.42 , 24.88 , 55.70 ,26.84,19.92,6.09,0.85,23,15,12, 164 
TRENT,0.09,-5.93%,-13.86%,19.23%,37.25%,38.46%,3.85%, 37.01 , 15.59 , 20.81 , 26.59 ,32.2,44.35,15.87,0.35,5,3.2,2.2, 196 
HYUNDAI,0.05,5.24%,1.72%,5.44%,-22.22%,-0.91%,-6.93%, 82.50 , 5.43 , 9.66 , 2.41 ,41.84,39.45,25.52,1.12,21,0,5727, 231 
PIDILITIND,0.02,-3.41%,-6.07%,14.08%,36.85%,6.12%,19.96%, 69.32 , 11.75 , 8.98 , 9.95 ,23.21,22.45,19.04,3.04,20,16,11, 106 
ABB, -   ,-10.48%,-21.28%,-5.38%,-35.72%,8.32%,-10.95%, 75.00 , 8.19 , 8.57 , 8.24 ,22.39,38.74,22.94,0.82,39.37,44.16,29.3, 370 
TECHM,0.02,4.74%,21.37%,12.64%,18.67%,1.91%,77.44%, 34.97 , 18.59 , 35.50 , 10.94 ,15.9,8.89,17.98, -   ,45,40,50, 303 
CHOLAFIN,7.46,6.56%,27.51%,19.46%,30.57%,35.04%,24.90%, 49.25 , 24.87 , 17.20 , 8.68 ,19.86,20.23,20.61,1.07,2,2,2, 357 
BHEL,0.36,45.29%,240.41%,36.88%,157.56%,18.61%,89.18%, 58.17 , 7.23 , 22.44 , 12.16 ,2.17,1.16,2.57,14.02,0.5,0.25,0.4, 75 
CGPOWER, -   ,8.39%,27.33%,25.03%,31.81%,23.15%,11.69%, 56.36 , 12.03 , 14.54 , 17.07 ,28.59,36.44,57.55,7.31,1.3,1.3,1.5, 51 
POLYCAB,0.01,16.09%,24.66%,26.89%,6.98%,24.22%,13.46%, 61.50 , 18.21 , 7.95 , 12.34 ,22.93,24.49,21.18,1.49,35,30,20, 798 
TATACAP,7.2,2.32%,15.94%,14.87%,39.55%,55.78%,9.86%, 85.41 , 4.88 , 3.34 , 6.37 ,13.97,16.4,20.39,1.06,0.42,0.21,0.16, 108 
