Symbol,Sales Growth Quarterly QoQ,Net Profit Growth Quarterly QoQ,Sales Growth Quarterly YoY,Net Profit Growth Quarterly YoY,Sales Growth Yearly,Net Profit Growth,Mar26 Promoter Holding,Mar26 FII Holding,Mar26 DII Holding,Mar26 Retail holding
RELIANCE,10.81%,-7.00%,12.87%,-8.10%,7.06%,2.74%,50,18.66,19.12,12.22
HDFCBANK,0.13%,1.85%,0.46%,9.28%,18.59%,12.21%,,44.04,37.54,18.42
SBIN,0.38%,-7.84%,3.34%,1.10%,11.78%,15.97%,55.52,11.41,24.24,8.83
ICICIBANK,2.54%,16.41%,2.49%,9.00%,16.81%,20.91%,,34.48,36.79,28.73
TCS,5.38%,28.58%,9.65%,12.13%,4.58%,1.35%,71.77,9.66,12.61,5.96
BAJFINANCE,1.85%,36.40%,18.10%,22.18%,26.76%,16.11%,54.7,21.33,13.59,10.38
LT,15.83%,64.98%,11.25%,3.00%,15.66%,13.60%,,18.75,40.03,41.22
HINDUNILVR,-0.55%,41.46%,7.64%,20.14%,1.98%,3.78%,61.9,10.1,15.57,12.43
INFY,2.03%,27.65%,13.38%,20.90%,9.61%,10.18%,14.38,28.45,40.38,16.79
ADANIPOWER,14.23%,71.67%,-0.10%,64.33%,11.62%,-38.79%,74.96,11.73,3.69,9.62
MARUTI,5.13%,-6.12%,28.21%,-7.23%,7.79%,7.50%,58.53,14.12,22.42,4.93
M&M,5.53%,3.30%,29.07%,51.72%,14.80%,14.70%,18.45,36.23,29.05,16.27
ADANIPORTS,10.64%,5.31%,26.50%,8.56%,14.09%,36.49%,68.02,13.24,13.04,5.7
TITAN,5.92%,-29.99%,80.48%,35.36%,18.35%,-4.55%,52.9,15.65,13.54,17.91
AXISBANK,1.37%,8.34%,5.30%,1.90%,12.96%,6.39%,8.14,42.05,40.47,9.34
KOTAKBANK,1.83%,10.15%,6.29%,10.03%,16.77%,22.08%,25.87,26.39,34.06,13.68
ULTRACEMCO,18.19%,73.10%,11.86%,20.75%,7.12%,-13.77%,59.33,13.61,18.42,8.64
